Student_ID,Gender,Age,Department,Year,Attendance,Quiz_Marks,Assignment_Marks,Midterm_Marks,Final_Marks,Semester,Academic_Year,GPA
100039,Male,22,Computer Science,2nd Year,74,52,76,52,92,Semester 2,2024-2025,2.88
100040,Male,22,Civil,3rd Year,84,63,52,84,55,Semester 1,2023-2024,2.51
100041,Male,20,Civil,3rd Year,77,71,62,66,92,Semester 1,2025-2026,2.99
100042,Male,18,Business,3rd Year,72,58,93,64,61,Semester 1,2022-2023,2.77
100043,Female,19,Civil,3rd Year,79,74,41,71,77,Semester 1,2022-2023,2.64
100044,Female,19,Electronics,4th Year,75,74,53,74,88,Semester 1,2025-2026,2.95
100045,Female,23,Computer Science,2nd Year,70,44,80,61,91,Semester 2,2025-2026,2.95
100046,Female,20,Civil,4th Year,50,92,97,74,59,Semester 1,2025-2026,3.09
100047,Female,22,Information Technology,4th Year,81,92,88,91,58,Semester 1,2022-2023,3.15
100048,Male,21,Mechanical,4th Year,76,95,84,99,40,Semester 2,2025-2026,2.96
100049,Female,22,Electronics,2nd Year,69,77,84,60,89,Semester 1,2023-2024,3.15
100050,Female,21,Information Technology,1st Year,93,62,82,66,97,Semester 2,2023-2024,3.21
100051,Male,21,Computer Science,2nd Year,77,54,78,69,78,Semester 1,2022-2023,2.89
100052,Female,22,Mechanical,3rd Year,60,100,92,94,72,Semester 2,2024-2025,3.47
100053,Male,23,Civil,4th Year,50,99,51,92,73,Semester 2,2023-2024,3.05
100054,Female,19,Information Technology,4th Year,86,40,91,71,80,Semester 1,2024-2025,2.98
100055,Male,21,Information Technology,4th Year,96,86,56,91,78,Semester 2,2023-2024,3.08
100056,Female,23,Civil,4th Year,58,62,89,100,90,Semester 2,2022-2023,3.52
100057,Female,20,Business,1st Year,62,68,49,79,62,Semester 1,2023-2024,2.56
100058,Male,20,Business,1st Year,95,66,85,90,76,Semester 2,2022-2023,3.21
100059,Male,21,Civil,4th Year,94,45,73,65,85,Semester 2,2023-2024,2.84
100060,Male,19,Information Technology,2nd Year,69,55,96,69,55,Semester 2,2025-2026,2.75
100061,Male,21,Computer Science,1st Year,91,62,89,53,45,Semester 2,2024-2025,2.42
100062,Male,20,Electronics,2nd Year,78,66,80,76,50,Semester 2,2023-2024,2.66
100063,Male,24,Computer Science,1st Year,68,89,74,97,50,Semester 2,2023-2024,2.94
100064,Male,20,Computer Science,3rd Year,84,76,95,94,49,Semester 1,2025-2026,3.03
100065,Male,22,Electronics,3rd Year,90,72,42,74,41,Semester 1,2023-2024,2.17
100066,Female,24,Computer Science,3rd Year,57,70,93,75,47,Semester 1,2025-2026,2.76
100067,Female,19,Mechanical,1st Year,80,91,96,67,84,Semester 2,2024-2025,3.35
100068,Male,22,Civil,2nd Year,70,88,51,83,66,Semester 1,2025-2026,2.79
100069,Female,24,Information Technology,1st Year,84,97,66,86,72,Semester 1,2025-2026,3.11
100070,Female,23,Electronics,3rd Year,62,87,55,88,73,Semester 1,2023-2024,2.97
100071,Female,24,Computer Science,1st Year,91,79,47,52,79,Semester 2,2023-2024,2.57
100072,Female,23,Information Technology,3rd Year,73,96,78,74,42,Semester 2,2024-2025,2.68
100073,Male,23,Business,3rd Year,93,46,82,92,55,Semester 1,2022-2023,2.79
100074,Female,24,Mechanical,2nd Year,85,68,54,77,77,Semester 2,2023-2024,2.8
100075,Male,24,Computer Science,4th Year,100,45,90,88,87,Semester 1,2025-2026,3.27
100076,Female,18,Computer Science,3rd Year,65,41,99,51,59,Semester 1,2022-2023,2.57
100077,Female,24,Computer Science,2nd Year,86,62,76,95,99,Semester 1,2024-2025,3.47
100078,Female,23,Mechanical,4th Year,58,77,90,46,75,Semester 1,2023-2024,2.87
100079,Male,21,Civil,1st Year,88,42,91,91,66,Semester 1,2023-2024,3.0
100080,Female,22,Information Technology,4th Year,95,84,55,89,75,Semester 1,2024-2025,2.99
100081,Male,23,Computer Science,4th Year,96,100,51,54,44,Semester 1,2025-2026,2.27
100082,Female,19,Business,2nd Year,59,65,77,90,73,Semester 2,2024-2025,3.08
100083,Male,24,Computer Science,2nd Year,100,61,78,73,75,Semester 1,2022-2023,2.93
100084,Female,23,Mechanical,3rd Year,76,99,81,51,82,Semester 2,2024-2025,3.06
100085,Male,21,Mechanical,4th Year,100,52,64,96,55,Semester 2,2023-2024,2.68
100086,Male,24,Information Technology,3rd Year,99,44,86,90,65,Semester 1,2025-2026,2.93
100087,Female,21,Information Technology,2nd Year,81,75,72,85,73,Semester 1,2024-2025,3.04
100088,Male,21,Business,3rd Year,59,56,61,45,48,Semester 1,2022-2023,2.07
100089,Female,21,Computer Science,4th Year,98,93,73,67,88,Semester 1,2022-2023,3.19
100090,Female,21,Business,1st Year,61,70,41,83,68,Semester 2,2025-2026,2.61
100091,Female,19,Business,1st Year,90,57,81,43,64,Semester 1,2024-2025,2.48
100092,Female,18,Business,3rd Year,93,67,91,58,52,Semester 1,2024-2025,2.62
100093,Female,20,Computer Science,2nd Year,99,80,73,75,66,Semester 2,2025-2026,2.88
100094,Female,18,Computer Science,1st Year,69,67,90,43,83,Semester 2,2022-2023,2.89
100095,Female,20,Computer Science,4th Year,68,87,61,96,41,Semester 1,2024-2025,2.67
100096,Female,22,Computer Science,2nd Year,69,44,88,50,46,Semester 2,2022-2023,2.29
100097,Female,24,Business,1st Year,59,48,57,71,98,Semester 1,2024-2025,2.94
100098,Female,21,Mechanical,4th Year,86,64,43,52,56,Semester 2,2023-2024,2.12
100099,Female,22,Civil,1st Year,50,100,83,61,72,Semester 1,2025-2026,3.05
100100,Male,22,Information Technology,3rd Year,79,58,93,59,57,Semester 1,2023-2024,2.67
100101,Male,24,Mechanical,4th Year,81,50,58,47,57,Semester 2,2023-2024,2.15
100102,Female,20,Electronics,3rd Year,56,65,40,69,70,Semester 1,2023-2024,2.46
100103,Female,19,Electronics,4th Year,64,90,58,66,66,Semester 1,2022-2023,2.7
100104,Female,21,Electronics,2nd Year,71,51,70,69,67,Semester 1,2024-2025,2.63
100105,Female,23,Information Technology,3rd Year,97,84,46,43,84,Semester 2,2025-2026,2.57
100106,Female,24,Computer Science,3rd Year,60,75,56,98,76,Semester 2,2022-2023,3.05
100107,Female,24,Electronics,4th Year,54,72,62,55,99,Semester 2,2025-2026,2.99
100108,Female,22,Electronics,3rd Year,51,46,45,68,60,Semester 1,2022-2023,2.25
100109,Female,18,Civil,4th Year,85,41,92,85,99,Semester 1,2023-2024,3.4
100110,Male,21,Mechanical,1st Year,80,43,93,77,64,Semester 2,2022-2023,2.85
100111,Female,19,Business,4th Year,63,58,98,69,63,Semester 1,2023-2024,2.9
100112,Male,21,Information Technology,2nd Year,90,44,45,60,53,Semester 2,2025-2026,2.06
100113,Female,23,Information Technology,2nd Year,91,82,58,52,90,Semester 2,2025-2026,2.85
100114,Female,23,Civil,4th Year,96,86,75,40,46,Semester 1,2022-2023,2.31
100115,Male,22,Electronics,4th Year,85,84,75,90,46,Semester 1,2025-2026,2.8
100116,Female,18,Business,2nd Year,58,90,80,45,58,Semester 1,2024-2025,2.6
100117,Male,22,Business,3rd Year,62,98,97,78,100,Semester 1,2024-2025,3.74
100118,Female,19,Civil,2nd Year,53,41,54,70,43,Semester 1,2023-2024,2.09
100119,Female,20,Computer Science,2nd Year,71,67,68,52,94,Semester 1,2022-2023,2.92
100120,Male,23,Electronics,1st Year,89,100,77,45,47,Semester 1,2024-2025,2.48
100121,Female,18,Business,4th Year,77,70,50,60,45,Semester 2,2024-2025,2.15
100122,Male,23,Information Technology,2nd Year,66,66,74,50,74,Semester 1,2022-2023,2.67
100123,Female,19,Business,3rd Year,59,58,48,40,83,Semester 1,2023-2024,2.39
100124,Male,19,Mechanical,1st Year,69,79,47,90,71,Semester 1,2022-2023,2.84
100125,Male,23,Civil,1st Year,85,45,53,100,41,Semester 2,2023-2024,2.37
100126,Female,22,Business,1st Year,79,61,83,57,56,Semester 2,2023-2024,2.55
100127,Female,23,Business,4th Year,67,82,75,57,57,Semester 2,2023-2024,2.61
100128,Male,22,Business,2nd Year,58,71,98,67,65,Semester 2,2024-2025,2.99
100129,Female,23,Civil,4th Year,88,55,81,93,75,Semester 1,2024-2025,3.12
100130,Female,22,Information Technology,1st Year,82,56,67,94,83,Semester 1,2022-2023,3.11
100131,Female,20,Business,1st Year,72,55,44,85,55,Semester 2,2025-2026,2.39
100132,Male,21,Business,1st Year,71,72,79,43,83,Semester 2,2024-2025,2.81
100133,Male,21,Electronics,2nd Year,78,66,47,50,84,Semester 1,2025-2026,2.54
100134,Male,22,Electronics,1st Year,50,71,97,94,48,Semester 1,2023-2024,3.01
100135,Male,22,Electronics,2nd Year,71,54,95,47,43,Semester 1,2024-2025,2.35
100136,Male,24,Business,4th Year,74,93,96,97,61,Semester 1,2022-2023,3.34
100137,Male,24,Business,3rd Year,63,46,50,61,70,Semester 1,2022-2023,2.37
100138,Male,20,Business,4th Year,99,48,100,75,41,Semester 1,2024-2025,2.61
100139,Male,21,Mechanical,4th Year,53,75,100,78,99,Semester 2,2022-2023,3.62
100140,Male,20,Mechanical,2nd Year,89,69,48,84,46,Semester 2,2023-2024,2.38
100141,Female,24,Electronics,4th Year,56,89,61,99,57,Semester 1,2022-2023,2.93
100142,Male,24,Mechanical,3rd Year,78,47,52,61,66,Semester 1,2023-2024,2.34
100143,Female,19,Civil,3rd Year,69,51,97,48,84,Semester 1,2022-2023,2.93
100144,Female,23,Business,3rd Year,97,98,50,65,54,Semester 2,2024-2025,2.49
100145,Female,24,Electronics,4th Year,57,77,62,76,47,Semester 2,2022-2023,2.5
100146,Male,21,Mechanical,1st Year,58,99,79,73,48,Semester 1,2024-2025,2.79
100147,Male,22,Business,2nd Year,87,43,51,81,67,Semester 1,2025-2026,2.52
100148,Male,18,Business,2nd Year,55,58,78,75,84,Semester 2,2025-2026,3.05
100149,Male,24,Civil,1st Year,82,51,68,95,85,Semester 1,2025-2026,3.13
100150,Female,19,Civil,2nd Year,80,74,50,60,58,Semester 1,2023-2024,2.36
100151,Male,23,Mechanical,4th Year,100,100,65,56,80,Semester 2,2022-2023,2.93
100152,Male,18,Electronics,1st Year,55,51,62,54,97,Semester 2,2024-2025,2.82
100153,Male,20,Electronics,1st Year,72,97,93,63,55,Semester 1,2024-2025,2.91
100154,Male,23,Mechanical,4th Year,85,93,98,91,95,Semester 1,2024-2025,3.78
100155,Male,20,Mechanical,4th Year,96,69,77,100,97,Semester 1,2022-2023,3.54
100156,Female,20,Computer Science,2nd Year,69,53,79,93,76,Semester 2,2024-2025,3.1
100157,Male,22,Civil,4th Year,72,80,80,75,60,Semester 2,2024-2025,2.87
100158,Female,20,Electronics,3rd Year,64,83,98,82,73,Semester 1,2025-2026,3.32
100159,Male,24,Information Technology,3rd Year,82,88,89,63,73,Semester 2,2023-2024,3.07
100160,Female,18,Civil,4th Year,56,87,62,65,65,Semester 2,2025-2026,2.7
100161,Male,19,Business,3rd Year,82,89,68,49,64,Semester 2,2025-2026,2.6
100162,Male,24,Electronics,1st Year,85,67,67,70,61,Semester 1,2025-2026,2.63
100163,Female,22,Business,3rd Year,66,69,48,40,61,Semester 1,2023-2024,2.15
100164,Female,19,Computer Science,1st Year,54,48,72,81,64,Semester 1,2023-2024,2.71
100165,Female,20,Civil,1st Year,94,71,88,85,59,Semester 2,2023-2024,2.98
100166,Male,21,Civil,3rd Year,95,69,52,77,66,Semester 1,2022-2023,2.63
100167,Female,23,Business,4th Year,53,53,66,62,73,Semester 2,2025-2026,2.62
100168,Male,22,Electronics,3rd Year,58,93,83,60,77,Semester 1,2023-2024,3.07
100169,Male,20,Information Technology,1st Year,76,83,78,78,53,Semester 2,2025-2026,2.8
100170,Female,22,Mechanical,4th Year,85,43,68,91,46,Semester 1,2024-2025,2.49
100171,Female,21,Information Technology,1st Year,51,73,73,86,41,Semester 1,2024-2025,2.6
100172,Male,18,Business,3rd Year,60,62,69,51,96,Semester 2,2023-2024,2.92
100173,Male,24,Computer Science,2nd Year,73,40,50,92,80,Semester 1,2024-2025,2.78
100174,Female,18,Civil,4th Year,100,40,44,82,89,Semester 1,2024-2025,2.75
100175,Female,23,Business,1st Year,78,56,81,57,81,Semester 2,2022-2023,2.85
100176,Female,18,Business,4th Year,99,90,49,61,47,Semester 1,2024-2025,2.3
100177,Male,24,Electronics,1st Year,64,43,95,99,52,Semester 2,2023-2024,2.93
100178,Male,24,Civil,3rd Year,88,94,70,83,75,Semester 2,2024-2025,3.14
100179,Male,21,Mechanical,3rd Year,52,83,89,45,77,Semester 2,2022-2023,2.92
100180,Male,19,Information Technology,3rd Year,67,92,78,93,97,Semester 1,2025-2026,3.62
100181,Male,21,Information Technology,1st Year,94,89,73,73,84,Semester 1,2024-2025,3.17
100182,Male,21,Computer Science,3rd Year,87,49,51,66,57,Semester 2,2024-2025,2.26
100183,Female,20,Electronics,2nd Year,70,58,51,49,98,Semester 1,2024-2025,2.72
100184,Male,18,Mechanical,2nd Year,93,40,84,54,68,Semester 1,2025-2026,2.57
100185,Male,22,Business,3rd Year,83,99,79,78,45,Semester 1,2022-2023,2.79
100186,Male,24,Mechanical,1st Year,91,40,85,54,62,Semester 2,2022-2023,2.5
100187,Female,23,Electronics,3rd Year,52,72,47,89,93,Semester 1,2024-2025,3.09
100188,Male,19,Computer Science,3rd Year,57,86,47,40,71,Semester 1,2022-2023,2.38
100189,Male,24,Business,1st Year,84,98,62,56,48,Semester 1,2024-2025,2.44
100190,Female,22,Mechanical,2nd Year,52,97,53,67,85,Semester 2,2025-2026,2.97
100191,Male,20,Computer Science,2nd Year,89,58,41,49,71,Semester 1,2025-2026,2.24
100192,Male,20,Electronics,1st Year,62,56,58,81,59,Semester 2,2024-2025,2.55
100193,Male,19,Electronics,3rd Year,65,72,53,47,96,Semester 1,2023-2024,2.78
100194,Male,22,Electronics,3rd Year,92,66,81,42,90,Semester 2,2024-2025,2.89
100195,Male,19,Mechanical,1st Year,79,91,69,66,74,Semester 1,2025-2026,2.93
100196,Female,19,Electronics,2nd Year,97,50,46,64,49,Semester 1,2024-2025,2.09
100197,Female,18,Mechanical,1st Year,58,97,85,51,46,Semester 1,2023-2024,2.59
100198,Female,22,Computer Science,4th Year,94,94,60,60,47,Semester 2,2024-2025,2.42
100199,Male,18,Civil,1st Year,71,52,62,42,50,Semester 1,2023-2024,2.05
100200,Male,24,Computer Science,2nd Year,78,89,60,98,66,Semester 1,2022-2023,3.04
100201,Male,18,Mechanical,1st Year,62,49,72,43,67,Semester 1,2022-2023,2.38
100202,Female,24,Information Technology,4th Year,53,76,83,83,68,Semester 1,2023-2024,3.07
100203,Male,23,Information Technology,3rd Year,95,84,54,99,43,Semester 2,2025-2026,2.64
100204,Male,18,Business,3rd Year,75,52,43,57,69,Semester 2,2025-2026,2.28
100205,Female,21,Civil,4th Year,100,49,92,69,62,Semester 1,2025-2026,2.77
100206,Male,20,Electronics,4th Year,79,98,56,95,100,Semester 1,2022-2023,3.5
100207,Female,20,Computer Science,1st Year,100,49,48,71,92,Semester 1,2024-2025,2.77
100208,Female,21,Computer Science,1st Year,51,93,82,43,62,Semester 2,2022-2023,2.68
100209,Female,24,Mechanical,2nd Year,89,53,57,99,53,Semester 2,2023-2024,2.62
100210,Male,24,Business,1st Year,87,42,55,69,85,Semester 1,2023-2024,2.68
100211,Male,19,Civil,4th Year,94,45,60,61,93,Semester 1,2024-2025,2.78
100212,Male,22,Electronics,3rd Year,55,66,66,51,89,Semester 2,2024-2025,2.81
100213,Male,22,Civil,2nd Year,87,47,40,88,63,Semester 1,2023-2024,2.44
100214,Male,22,Information Technology,4th Year,66,66,88,89,62,Semester 1,2022-2023,3.03
100215,Male,18,Business,1st Year,100,83,87,89,84,Semester 2,2025-2026,3.43
100216,Male,22,Civil,4th Year,54,55,88,78,81,Semester 2,2024-2025,3.12
100217,Female,22,Electronics,3rd Year,61,96,80,55,76,Semester 2,2022-2023,2.99
100218,Male,24,Business,1st Year,83,72,76,97,88,Semester 2,2022-2023,3.39
100219,Female,22,Electronics,1st Year,52,51,46,67,89,Semester 1,2022-2023,2.68
100220,Male,20,Computer Science,2nd Year,91,87,42,42,96,Semester 1,2023-2024,2.71
100221,Male,21,Computer Science,1st Year,60,83,79,86,87,Semester 2,2023-2024,3.37
100222,Male,23,Electronics,2nd Year,100,75,75,96,41,Semester 2,2024-2025,2.73
100223,Female,24,Computer Science,4th Year,67,92,82,64,43,Semester 1,2024-2025,2.61
100224,Female,19,Computer Science,2nd Year,98,93,94,43,56,Semester 2,2024-2025,2.71
100225,Female,21,Computer Science,4th Year,71,55,82,71,83,Semester 1,2024-2025,3.02
100226,Female,22,Electronics,1st Year,53,64,84,72,49,Semester 1,2024-2025,2.63
100227,Male,19,Computer Science,2nd Year,72,57,95,60,41,Semester 1,2025-2026,2.47
100228,Female,19,Information Technology,4th Year,78,82,42,96,63,Semester 2,2023-2024,2.75
100229,Male,21,Business,2nd Year,96,51,87,50,59,Semester 2,2025-2026,2.5
100230,Male,21,Electronics,2nd Year,77,79,86,54,77,Semester 1,2022-2023,2.95
100231,Female,21,Civil,4th Year,56,93,42,52,68,Semester 2,2025-2026,2.45
100232,Female,24,Business,2nd Year,92,55,58,85,59,Semester 1,2024-2025,2.59
100233,Female,24,Mechanical,4th Year,65,47,93,43,56,Semester 2,2025-2026,2.43
100234,Female,23,Business,1st Year,90,56,85,57,65,Semester 2,2023-2024,2.67
100235,Female,21,Mechanical,4th Year,89,59,53,81,82,Semester 1,2023-2024,2.84
100236,Female,23,Information Technology,2nd Year,92,73,81,53,85,Semester 2,2022-2023,2.97
100237,Female,18,Electronics,1st Year,94,41,76,91,53,Semester 1,2025-2026,2.66
100238,Female,20,Civil,3rd Year,74,66,64,72,57,Semester 1,2025-2026,2.55
100239,Male,23,Electronics,4th Year,75,45,82,96,87,Semester 2,2025-2026,3.27
100240,Female,20,Civil,1st Year,86,93,75,87,58,Semester 1,2024-2025,2.99
100241,Female,22,Civil,2nd Year,64,74,52,89,59,Semester 2,2025-2026,2.68
100242,Male,18,Electronics,4th Year,76,92,59,65,64,Semester 1,2023-2024,2.69
100243,Female,19,Business,2nd Year,81,77,43,43,79,Semester 2,2025-2026,2.43
100244,Male,21,Computer Science,3rd Year,82,79,57,94,83,Semester 2,2023-2024,3.15
100245,Male,22,Mechanical,3rd Year,57,67,96,47,84,Semester 2,2023-2024,3.01
100246,Female,19,Computer Science,1st Year,55,98,75,46,65,Semester 1,2025-2026,2.71
100247,Male,24,Mechanical,3rd Year,81,92,98,62,42,Semester 1,2024-2025,2.74
100248,Male,20,Computer Science,2nd Year,94,46,82,69,51,Semester 1,2024-2025,2.5
100249,Male,19,Electronics,1st Year,90,50,55,81,45,Semester 2,2025-2026,2.29
100250,Male,21,Electronics,4th Year,57,88,84,87,63,Semester 2,2022-2023,3.12
100251,Female,21,Civil,2nd Year,52,42,56,77,42,Semester 1,2025-2026,2.17
100252,Male,23,Information Technology,2nd Year,71,56,51,52,88,Semester 2,2024-2025,2.6
100253,Female,23,Electronics,2nd Year,87,46,67,66,49,Semester 2,2022-2023,2.29
100254,Male,24,Mechanical,4th Year,85,55,77,89,79,Semester 1,2024-2025,3.1
100255,Male,20,Civil,4th Year,92,44,96,91,81,Semester 1,2024-2025,3.27
100256,Male,21,Mechanical,2nd Year,81,44,78,76,88,Semester 1,2025-2026,3.04
100257,Male,18,Computer Science,3rd Year,74,82,96,85,53,Semester 1,2024-2025,3.04
100258,Female,22,Information Technology,1st Year,77,93,58,90,88,Semester 1,2022-2023,3.27
100259,Female,20,Electronics,2nd Year,79,40,61,64,41,Semester 2,2024-2025,2.06
100260,Male,20,Computer Science,2nd Year,79,95,55,56,57,Semester 2,2025-2026,2.48
100261,Male,19,Civil,1st Year,55,45,95,50,63,Semester 1,2025-2026,2.6
100262,Female,20,Mechanical,2nd Year,91,52,74,60,41,Semester 2,2024-2025,2.23
100263,Male,24,Business,1st Year,65,80,60,48,72,Semester 1,2025-2026,2.57
100264,Male,22,Information Technology,1st Year,76,62,68,40,55,Semester 2,2024-2025,2.22
100265,Male,18,Electronics,3rd Year,59,92,51,68,81,Semester 2,2023-2024,2.88
100266,Female,19,Mechanical,1st Year,72,62,98,74,86,Semester 1,2025-2026,3.3
100267,Female,22,Electronics,1st Year,69,73,60,48,69,Semester 2,2022-2023,2.48
100268,Female,23,Electronics,4th Year,75,67,52,91,70,Semester 1,2023-2024,2.81
100269,Male,20,Mechanical,1st Year,84,47,47,75,61,Semester 1,2023-2024,2.36
100270,Male,24,Electronics,2nd Year,68,92,61,85,56,Semester 1,2023-2024,2.8
100271,Female,21,Civil,1st Year,67,53,66,57,76,Semester 2,2022-2023,2.61
100272,Female,23,Information Technology,1st Year,97,43,76,76,71,Semester 2,2023-2024,2.77
100273,Female,21,Computer Science,4th Year,79,44,91,98,83,Semester 1,2023-2024,3.32
100274,Female,22,Information Technology,3rd Year,72,43,68,65,59,Semester 2,2024-2025,2.41
100275,Male,18,Computer Science,3rd Year,68,77,100,65,47,Semester 1,2023-2024,2.77
100276,Female,21,Civil,3rd Year,85,65,88,57,80,Semester 1,2025-2026,2.96
100277,Male,24,Information Technology,4th Year,86,74,82,74,91,Semester 2,2024-2025,3.28
100278,Female,22,Civil,3rd Year,64,46,71,90,97,Semester 2,2025-2026,3.24
100279,Male,19,Mechanical,1st Year,91,82,67,42,71,Semester 2,2025-2026,2.58
100280,Female,20,Computer Science,2nd Year,82,79,89,91,81,Semester 2,2022-2023,3.41
100281,Female,18,Mechanical,2nd Year,73,76,66,96,91,Semester 1,2025-2026,3.35
100282,Female,24,Mechanical,2nd Year,76,50,59,69,69,Semester 1,2022-2023,2.55
100283,Female,24,Information Technology,3rd Year,82,62,62,56,80,Semester 1,2025-2026,2.67
100284,Male,18,Electronics,4th Year,55,68,48,71,66,Semester 1,2023-2024,2.52
100285,Female,19,Electronics,4th Year,83,61,42,51,74,Semester 1,2022-2023,2.33
100286,Male,18,Civil,3rd Year,99,52,63,80,54,Semester 1,2025-2026,2.5
100287,Male,22,Information Technology,4th Year,58,66,40,55,70,Semester 2,2025-2026,2.33
100288,Male,18,Mechanical,1st Year,77,88,78,94,61,Semester 1,2025-2026,3.1
100289,Male,18,Business,4th Year,62,82,72,81,84,Semester 2,2023-2024,3.2
100290,Female,18,Civil,3rd Year,84,100,67,95,81,Semester 1,2025-2026,3.35
100291,Male,22,Mechanical,4th Year,92,91,51,94,43,Semester 1,2025-2026,2.6
100292,Male,23,Civil,4th Year,83,85,41,88,69,Semester 1,2023-2024,2.77
100293,Male,20,Business,1st Year,66,52,88,87,45,Semester 2,2024-2025,2.69
100294,Female,21,Computer Science,1st Year,65,62,61,94,48,Semester 2,2023-2024,2.59
100295,Female,23,Civil,2nd Year,81,83,78,61,48,Semester 2,2025-2026,2.56
100296,Female,18,Civil,4th Year,68,43,54,42,69,Semester 1,2025-2026,2.18
100297,Female,19,Mechanical,3rd Year,87,72,56,67,92,Semester 2,2024-2025,2.95
100298,Male,24,Electronics,3rd Year,74,54,95,42,74,Semester 2,2022-2023,2.73
100299,Male,19,Mechanical,1st Year,99,79,47,70,47,Semester 2,2024-2025,2.3
100300,Female,22,Information Technology,2nd Year,94,66,88,59,81,Semester 1,2025-2026,3.0
100301,Male,20,Mechanical,1st Year,51,98,68,91,75,Semester 1,2022-2023,3.23
100302,Male,18,Business,1st Year,50,77,69,57,52,Semester 2,2025-2026,2.45
100303,Male,22,Electronics,1st Year,91,65,73,89,58,Semester 1,2022-2023,2.82
100304,Female,21,Information Technology,3rd Year,100,85,85,45,43,Semester 1,2025-2026,2.41
100305,Female,20,Business,4th Year,89,78,68,50,74,Semester 2,2022-2023,2.68
100306,Male,20,Electronics,4th Year,91,51,60,85,45,Semester 2,2022-2023,2.39
100307,Female,22,Information Technology,3rd Year,53,85,46,69,41,Semester 2,2022-2023,2.23
100308,Female,23,Mechanical,3rd Year,53,51,89,73,77,Semester 1,2024-2025,3.0
100309,Female,24,Electronics,2nd Year,64,88,43,87,71,Semester 2,2025-2026,2.82
100310,Female,19,Business,3rd Year,73,48,100,69,51,Semester 1,2024-2025,2.69
100311,Female,23,Business,2nd Year,93,66,59,75,47,Semester 1,2025-2026,2.39
100312,Male,20,Electronics,4th Year,100,58,99,87,83,Semester 2,2023-2024,3.37
